Brand,Category,OriginalPrice,SalePrice
3.1 PHILLIP LIM,Skirt,552.88,
3.1 PHILLIP LIM,Jacket,759.75,
3.1 PHILLIP LIM,Top,503.08,
3.1 PHILLIP LIM,Pants,564.25,
ACNE STUDIOS,Skirt,390.0,
ACNE STUDIOS,Top,242.94,
ACNE STUDIOS,Jacket,1476.43,
ACNE STUDIOS,Pants,765.56,
ADAM LIPPES,Skirt,1842.5,
ADAM LIPPES,Top,732.78,
ADAM LIPPES,Pants,780.0,
ADEAM,Skirt,540.0,
ADIDAS ORIGINALS,Top,41.67,
AGNONA,Top,630.0,
AGNONA,Skirt,935.0,
AGNONA,Pants,1064.0,
AGNONA,Jacket,4360.0,
AKRIS,Top,864.33,
AKRIS,Dress,2190.0,
AKRIS,Pants,1049.5,
AKRIS,Jacket,2790.0,
ALAÏA,Dress,3630.0,
ALAÏA,Top,1259.64,
ALAÏA,Pants,1212.0,
ALAÏA,Skirt,2550.91,
ALESSANDRA RICH,Jacket,1615.0,
ALEXACHUNG,Pants,385.0,
ALEXACHUNG,Top,141.25,
ALEXACHUNG,Jacket,426.67,
ALEXACHUNG,Skirt,235.0,
ALEXANDER MCQUEEN,Top,1180.77,
ALEXANDER MCQUEEN,Jacket,2877.37,
ALEXANDER MCQUEEN,Pants,979.29,
ALEXANDER MCQUEEN,Skirt,1617.14,
ALEXANDER WANG,Pants,720.0,
ALEXANDER WANG,Skirt,826.43,
ALEXANDER WANG,Jacket,1716.25,
ALEXANDER WANG,Top,603.12,
ALEXANDERWANG.T,Pants,315.0,
ALEXANDERWANG.T,Skirt,285.0,
ALEXANDERWANG.T,Top,328.93,
ALICE + OLIVIA,Pants,449.0,
ALICE + OLIVIA,Skirt,514.17,
ALICE + OLIVIA,Jacket,574.29,
ALICE + OLIVIA,Top,313.57,
ALTUZARRA,Skirt,958.33,
ALTUZARRA,Dress,1385.83,
ALTUZARRA,Top,775.0,
ALTUZARRA,Jacket,1518.0,
ALTUZARRA,Pants,767.31,
AMIRI,Top,556.67,
AMIRI,Skirt,1954.0,
AMIRI,Jacket,1465.0,
ANINE BING,Top,156.67,
ANINE BING,Jacket,375.0,
ANINE BING,Pants,210.0,
ANN DEMEULEMEESTER,Skirt,1108.0,
ANN DEMEULEMEESTER,Top,653.86,
ANN DEMEULEMEESTER,Pants,819.67,
ANN DEMEULEMEESTER,Jacket,1309.8,
ANNA QUAN,Pants,507.5,
ANNA QUAN,Jacket,675.0,
ANNA QUAN,Skirt,390.0,
ANNA QUAN,Top,288.75,
ANTONIO BERARDI,Pants,552.5,
ANTONIO BERARDI,Top,589.6,
APIECE APART,Pants,437.5,
APIECE APART,Skirt,261.0,
APIECE APART,Top,238.6,
ASHISH,Pants,1465.0,
ATLANTIQUE ASCOLI,Top,503.75,
ATM ANTHONY THOMAS MELILLO,Pants,298.25,
ATM ANTHONY THOMAS MELILLO,Top,153.59,
ATTICO,Top,556.67,
BALENCIAGA,Skirt,1123.68,
BALENCIAGA,Jacket,1903.54,
BALENCIAGA,Top,715.81,
BALENCIAGA,Pants,850.56,
BALMAIN,Skirt,1256.67,
BALMAIN,Pants,1647.14,
BALMAIN,Top,809.06,
BASSIKE,Top,198.17,
BEAUFILLE,Skirt,650.0,
BEAUFILLE,Pants,453.33,
BEAUFILLE,Top,290.0,
BOTTEGA VENETA,Dress,1900.0,
BOTTEGA VENETA,Skirt,2175.0,
BOTTEGA VENETA,Pants,2700.0,
BOTTEGA VENETA,Jacket,3470.0,
BOTTEGA VENETA,Top,1370.0,
BRANDON MAXWELL,Top,1891.6,
BROCK COLLECTION,Top,890.0,
BROCK COLLECTION,Skirt,1161.0,
BRUNELLO CUCINELLI,Top,736.67,
BRUNELLO CUCINELLI,Pants,1115.0,
BRUNELLO CUCINELLI,Jacket,4400.0,
BRUNELLO CUCINELLI,Skirt,1690.0,
BURBERRY,Top,695.0,
BURBERRY,Pants,794.29,
BURBERRY,Dress,2290.0,
BURBERRY,Jacket,1213.57,
BURBERRY,Skirt,1076.67,
BY MALENE BIRGER,Jacket,449.0,
BY MALENE BIRGER,Pants,381.0,
BY MALENE BIRGER,Top,272.12,
BY MALENE BIRGER,Skirt,268.33,
CAMI NYC,Top,210.43,
CAMI NYC,Pants,335.5,
CAMI NYC,Skirt,343.0,
CAROLINA HERRERA,Jacket,2505.0,
CAROLINA HERRERA,Top,1147.5,
CAROLINA HERRERA,Pants,1683.75,
CAROLINA HERRERA,Skirt,1826.67,
CAROLINE CONSTAS,Top,492.57,
CAROLINE CONSTAS,Skirt,555.0,
CASASOLA,Top,645.0,
CECILIE BAHNSEN,Dress,1970.0,
CECILIE BAHNSEN,Pants,985.0,
CEFINN,Skirt,275.0,
CEFINN,Top,216.67,
CHLOÉ,Dress,2890.0,
CHLOÉ,Top,1037.1,
CHLOÉ,Pants,995.33,
CHLOÉ,Skirt,1390.0,
CHLOÉ,Jacket,1977.27,
CHRISTOPHER KANE,Top,599.29,
CHRISTOPHER KANE,Skirt,937.86,
CHRISTOPHER KANE,Jacket,1495.0,
CO,Skirt,660.0,
CO,Pants,646.67,
CO,Top,570.43,
COMMANDO,Top,99.8,
COSTARELLOS,Top,495.0,
CURRENT/ELLIOTT,Pants,336.67,
CURRENT/ELLIOTT,Top,225.0,
CUSHNIE,Top,936.5,
CUSHNIE,Skirt,936.5,
CUSHNIE,Pants,1193.78,
CUSHNIE,Jacket,2096.0,
DAVID KOMA,Top,913.33,
DAVID KOMA,Skirt,1356.25,
DE LA VALI,Dress,611.0,
DE LA VALI,Top,310.11,
DE LA VALI,Pants,380.5,
DE LA VALI,Jacket,693.0,
DEITAS,Dress,1055.0,
DEITAS,Top,781.25,
DEREK LAM,Pants,600.0,
DEREK LAM,Top,815.0,
DEREK LAM,Skirt,950.0,
DIANE VON FURSTENBERG,Pants,398.33,
DIANE VON FURSTENBERG,Skirt,450.0,
DIANE VON FURSTENBERG,Jacket,576.25,
DIANE VON FURSTENBERG,Top,317.11,
DION LEE,Skirt,835.0,
DION LEE,Pants,741.0,
DION LEE,Top,368.33,
DODO BAR OR,Top,523.8,
DODO BAR OR,Pants,727.0,
DODO BAR OR,Skirt,699.0,
DOLCE & GABBANA,Top,757.0,
DOLCE & GABBANA,Pants,802.5,
DOLCE & GABBANA,Jacket,1498.12,
DOLCE & GABBANA,Skirt,886.92,
DOUBLE RAINBOUU,Top,68.0,
ELLERY,Top,658.4,
ELLERY,Jacket,1266.25,
ELLERY,Pants,746.25,
EMILIA WICKSTEAD,Top,582.5,
EMILIA WICKSTEAD,Pants,698.0,
EMILIA WICKSTEAD,Skirt,1340.0,
EMILIO PUCCI,Pants,690.0,
EMILIO PUCCI,Top,590.0,
EQUIPMENT,Pants,824.67,
EQUIPMENT,Top,374.61,
