Brand,Category,OriginalPrice,SalePrice
3.1 PHILLIP LIM,Skirt,623.33,284.83
3.1 PHILLIP LIM,Jacket,763.44,320.25
3.1 PHILLIP LIM,Top,415.88,173.21
3.1 PHILLIP LIM,Pants,577.19,254.19
ACNE STUDIOS,Skirt,350.56,164.44
ACNE STUDIOS,Top,332.5,155.3
ACNE STUDIOS,Jacket,1037.5,518.75
ACNE STUDIOS,Pants,475.5,219.2
ADAM LIPPES,Skirt,898.25,351.67
ADAM LIPPES,Top,644.13,289.87
ADAM LIPPES,Pants,815.71,337.52
ADEAM,Skirt,535.0,251.0
ADIDAS ORIGINALS,Top,70.0,39.0
AGNONA,Top,754.0,358.8
AGNONA,Skirt,1231.56,510.56
AGNONA,Pants,872.0,386.2
AGNONA,Jacket,1510.0,592.0
AKRIS,Top,1202.5,531.0
AKRIS,Dress,2580.83,1005.67
AKRIS,Pants,1008.0,424.67
AKRIS,Jacket,2365.0,891.67
ALAÏA,Dress,3448.75,1380.0
ALAÏA,Top,1400.0,548.5
ALAÏA,Pants,2425.0,970.0
ALAÏA,Skirt,2716.67,882.0
ALESSANDRA RICH,Jacket,2820.0,1128.0
ALEXACHUNG,Pants,403.33,203.17
ALEXACHUNG,Top,236.22,120.32
ALEXACHUNG,Jacket,534.29,255.29
ALEXACHUNG,Skirt,310.83,164.33
ALEXANDER MCQUEEN,Top,1432.14,671.57
ALEXANDER MCQUEEN,Jacket,2651.0,1228.5
ALEXANDER MCQUEEN,Pants,1218.5,540.33
ALEXANDER MCQUEEN,Skirt,2579.6,1174.0
ALEXANDER WANG,Pants,772.69,296.69
ALEXANDER WANG,Skirt,550.0,263.75
ALEXANDER WANG,Jacket,998.85,437.85
ALEXANDER WANG,Top,558.19,240.43
ALEXANDERWANG.T,Pants,480.62,225.69
ALEXANDERWANG.T,Skirt,340.0,157.71
ALEXANDERWANG.T,Top,293.32,137.05
ALICE + OLIVIA,Pants,423.57,190.64
ALICE + OLIVIA,Skirt,618.71,283.35
ALICE + OLIVIA,Jacket,732.38,340.0
ALICE + OLIVIA,Top,324.01,150.64
ALTUZARRA,Skirt,962.92,450.5
ALTUZARRA,Dress,1479.41,654.06
ALTUZARRA,Top,592.14,256.14
ALTUZARRA,Jacket,1394.17,674.5
ALTUZARRA,Pants,665.56,296.11
AMIRI,Top,609.0,296.2
AMIRI,Skirt,1172.5,567.5
AMIRI,Jacket,1359.0,623.6
ANINE BING,Top,112.0,56.0
ANINE BING,Jacket,250.0,125.0
ANINE BING,Pants,205.0,102.0
ANN DEMEULEMEESTER,Skirt,838.91,380.27
ANN DEMEULEMEESTER,Top,699.67,317.65
ANN DEMEULEMEESTER,Pants,668.09,315.35
ANN DEMEULEMEESTER,Jacket,1304.81,590.63
ANNA QUAN,Pants,469.17,202.17
ANNA QUAN,Jacket,670.0,335.0
ANNA QUAN,Skirt,435.0,217.33
ANNA QUAN,Top,350.31,156.62
ANTONIO BERARDI,Pants,512.46,214.08
ANTONIO BERARDI,Top,601.46,288.69
APIECE APART,Pants,300.0,150.0
APIECE APART,Skirt,360.0,178.0
APIECE APART,Top,265.0,128.0
ASHISH,Pants,1450.0,652.0
ATLANTIQUE ASCOLI,Top,814.0,408.0
ATM ANTHONY THOMAS MELILLO,Pants,305.0,152.0
ATM ANTHONY THOMAS MELILLO,Top,130.0,65.0
ATTICO,Top,1080.0,564.5
BALENCIAGA,Skirt,1061.67,731.0
BALENCIAGA,Jacket,1326.67,901.67
BALENCIAGA,Top,977.22,684.0
BALENCIAGA,Pants,695.0,417.0
BALMAIN,Skirt,1481.15,685.62
BALMAIN,Pants,1534.29,660.36
BALMAIN,Top,1293.57,608.57
BASSIKE,Top,125.0,62.0
BEAUFILLE,Skirt,410.0,176.0
BEAUFILLE,Pants,485.0,164.5
BEAUFILLE,Top,439.17,181.33
BOTTEGA VENETA,Dress,3525.0,1960.5
BOTTEGA VENETA,Skirt,3660.0,2018.75
BOTTEGA VENETA,Pants,765.0,459.0
BOTTEGA VENETA,Jacket,2490.0,1422.0
BOTTEGA VENETA,Top,805.0,442.0
BRANDON MAXWELL,Top,725.0,328.0
BROCK COLLECTION,Top,733.22,294.78
BROCK COLLECTION,Skirt,1737.7,668.9
BRUNELLO CUCINELLI,Top,1178.24,498.9
BRUNELLO CUCINELLI,Pants,1072.99,488.06
BRUNELLO CUCINELLI,Jacket,3564.14,1448.93
BRUNELLO CUCINELLI,Skirt,1035.0,456.69
BURBERRY,Top,591.67,355.0
BURBERRY,Pants,529.0,105.0
BURBERRY,Dress,933.89,560.33
BURBERRY,Jacket,1810.33,964.33
BURBERRY,Skirt,1060.0,516.67
BY MALENE BIRGER,Jacket,407.0,172.0
BY MALENE BIRGER,Pants,332.45,151.18
BY MALENE BIRGER,Top,225.83,94.96
BY MALENE BIRGER,Skirt,230.0,101.67
CAMI NYC,Top,215.0,107.16
