Brand,Description,OriginalPrice
A.W.A.K.E. MODE,Dress,858.0
AKRIS,Dress,2190.0
ALAÏA,Dress,3630.0
ALEKSANDRE AKHALKATSISHVILI,Dress,523.0
ALEXANDER MCQUEEN,Dress,7440.0
ALTUZARRA,Dress,1385.827067669173
ANDERSSON BELL,Dress,472.0
ASAI,Dress,1261.0
BERNADETTE,Dress,605.0
BOTTEGA VENETA,Dress,1900.0
BURBERRY,Dress,2290.0
CECILIE BAHNSEN,Dress,1970.0
CHLOÉ,Dress,2890.0
COMMISSION,Dress,1369.0
DE LA VALI,Dress,611.0
DEITAS,Dress,1055.0
DEVEAUX,Dress,863.0
GANNI,Dress,316.15
GIAMBATTISTA VALLI,Dress,4455.0
GIVENCHY,Dress,1990.0
HAIDER ACKERMANN,Dress,1530.0
HOLZWEILER,Dress,190.0
ISABEL MARANT,Dress,2700.0
JACQUEMUS,Dress,765.5
JIL SANDER,Dress,1290.0
LA COLLECTION,Dress,890.0
LELA ROSE,Dress,1494.0
LES RÊVERIES,Dress,727.0
MONSE,Dress,2022.0
OSCAR DE LA RENTA,Dress,3495.0
PACO RABANNE,Dress,850.0
PETER PILOTTO,Dress,1145.0
PRADA,Dress,3428.5714285714284
PREEN BY THORNTON BREGAZZI,Dress,1062.0
PROENZA SCHOULER,Dress,1334.0
PUSHBUTTON,Dress,729.6666666666666
REJINA PYO,Dress,900.0
RICK OWENS,Dress,970.0
ROLAND MOURET,Dress,1115.0
STELLA MCCARTNEY,Dress,1195.0
VALENTINO,Dress,3980.0
VERSACE,Dress,1680.0
VETEMENTS,Dress,1350.0
VICTORIA BECKHAM,Dress,1950.0
