Brand,Description,SalePrice,OriginalPrice
3.1 PHILLIP LIM,Dress,435.75,1004.5833333333334
3x1,Dress,70.0,285.0
7 FOR ALL MANKIND,Dress,130.0,260.0
A.L.C.,Dress,242.68421052631578,551.3157894736842
A.P.C.,Dress,114.0,220.0
A.W.A.K.E.,Dress,388.0,775.0
ACNE STUDIOS,Dress,263.5833333333333,624.1666666666666
ADAM LIPPES,Dress,502.8333333333333,1335.375
ADEAM,Dress,542.0,1106.25
AG JEANS,Dress,155.0,311.0
AGNONA,Dress,694.7142857142857,1505.7142857142858
AKRIS,Dress,1005.6666666666666,2580.8333333333335
ALAÏA,Dress,1380.0,3448.75
ALBERTA FERRETTI,Dress,1044.32,2207.0
ALESSANDRA RICH,Dress,1724.0,4310.0
ALEXACHUNG,Dress,237.41666666666666,496.1111111111111
ALEXANDER MCQUEEN,Dress,2029.95,4292.0
ALEXANDER WANG,Dress,513.1481481481482,1341.4814814814815
ALEXANDERWANG.T,Dress,177.14285714285714,402.25
ALEXANDRE VAUTHIER,Dress,1814.0,4030.0
ALEXIS,Dress,171.0,558.3333333333334
ALEXIS MABILLE,Dress,1754.0,4175.0
ALICE + OLIVIA,Dress,254.8421052631579,594.6842105263158
ALICE McCALL,Dress,195.61904761904762,479.76190476190476
ALTUZARRA,Dress,654.0588235294117,1479.4117647058824
AMANDA WAKELEY,Dress,428.1818181818182,1143.6363636363637
AMERICAN VINTAGE,Dress,96.0,160.0
AMIRI,Dress,485.14285714285717,1029.2857142857142
ANINE BING,Dress,129.66666666666666,261.6666666666667
ANN DEMEULEMEESTER,Dress,407.0,864.2
ANNA OCTOBER,Dress,341.9166666666667,662.0
ANNA QUAN,Dress,244.0,526.5
ANNA SUI,Dress,316.61038961038963,675.2337662337662
ANTIK BATIK,Dress,143.1153846153846,273.38461538461536
ANTONIO BERARDI,Dress,527.9230769230769,1363.1538461538462
APIECE APART,Dress,226.88888888888889,467.77777777777777
ASHISH,Dress,1008.0,2240.0
ATM ANTHONY THOMAS MELILLO,Dress,135.33333333333334,332.6666666666667
ATTICO,Dress,591.6666666666666,1247.5
AUTUMN CASHMERE,Dress,223.0,387.5
BA&SH,Dress,100.23809523809524,268.0952380952381
BADGLEY MISCHKA,Dress,382.18918918918916,912.2972972972973
BAILEY 44,Dress,131.5,228.05555555555554
BALENCIAGA,Dress,1338.5,2150.0
BALMAIN,Dress,1301.7894736842106,2972.8947368421054
BAUM UND PFERDGARTEN,Dress,150.2962962962963,302.4074074074074
BEAUFILLE,Dress,257.2,564.0
BLACK HALO,Dress,156.97674418604652,389.0232558139535
BLACK HALO EVE by LAUREL BERMAN,Dress,269.90909090909093,598.6363636363636
BORGO DE NOR,Dress,423.35714285714283,939.547619047619
BOTTEGA VENETA,Dress,1960.5,3525.0
BOUTIQUE MOSCHINO,Dress,273.61538461538464,547.7692307692307
BRANDON MAXWELL,Dress,1558.0,3766.25
BROCK COLLECTION,Dress,830.55,2045.9
BRUNELLO CUCINELLI,Dress,963.1,2471.6666666666665
BURBERRY,Dress,560.3333333333334,933.8888888888889
BY MALENE BIRGER,Dress,135.17241379310346,320.17241379310343
CALVIN KLEIN 205W39NYC,Dress,1130.2,3360.0
CAMI NYC,Dress,165.7,340.5
CAMILLA,Dress,373.69565217391306,752.3913043478261
CAROLINA HERRERA,Dress,1203.8135593220338,3594.728813559322
CAROLINE CONSTAS,Dress,285.3076923076923,598.7179487179487
CARVEN,Dress,342.5,678.75
CASASOLA,Dress,379.0,1265.0
CATHERINE DEANE,Dress,391.6,896.4
CECILIE BAHNSEN,Dress,202.0,470.0
CEDRIC CHARLIER,Dress,451.0,899.1666666666666
CEFINN,Dress,185.8181818181818,361.3636363636364
CHALAYAN,Dress,397.6896551724138,970.1034482758621
CHAMPION,Dress,44.333333333333336,63.333333333333336
CHARLI,Dress,99.44444444444444,184.44444444444446
CHINTI AND PARKER,Dress,150.5,387.5
CHLOÉ,Dress,953.05,2476.3
CHRISTOPHER ESBER,Dress,371.0,825.0
CHRISTOPHER KANE,Dress,498.2173913043478,1159.3478260869565
CINQ À SEPT,Dress,248.72916666666666,561.4375
CLAUDIE PIERLOT,Dress,147.4,261.0
CLU,Dress,196.8,384.0
CO,Dress,407.15384615384613,1021.9230769230769
COACH,Dress,495.0,825.0
COSTARELLOS,Dress,968.7,2034.5
COTTON by AUTUMN CASHMERE,Dress,159.0,265.0
CURRENT/ELLIOTT,Dress,155.0,306.6666666666667
CUSHNIE,Dress,542.6078431372549,1441.8431372549019
DAVID KOMA,Dress,836.1,2103.3
DAY BIRGER ET MIKKELSEN,Dress,115.0,230.0
DE LA VALI,Dress,275.3333333333333,536.3888888888889
DEITAS,Dress,329.0,698.3333333333334
DELPOZO,Dress,944.5,3383.3333333333335
DEREK LAM,Dress,541.2857142857143,1270.904761904762
DEREK LAM 10 CROSBY,Dress,209.96875,505.46875
DIANE VON FURSTENBERG,Dress,281.6031746031746,613.0555555555555
DION LEE,Dress,621.6,1425.0
DKNY,Dress,72.6,143.9142857142857
DL1961,Dress,95.0,190.0
DODO BAR OR,Dress,359.85185185185185,664.5185185185185
DOLCE & GABBANA,Dress,1338.462962962963,3263.564814814815
DOUBLE RAINBOUU,Dress,181.33333333333334,385.0
DVF WEST DIANE VON FURSTENBERG,Dress,142.5,285.0
ELIE SAAB,Dress,2168.0,4818.333333333333
ELIE TAHARI,Dress,208.75,455.0
ELIZABETH AND JAMES,Dress,241.5,525.0
ELLERY,Dress,400.72727272727275,907.2727272727273
EMILIA WICKSTEAD,Dress,660.9444444444445,1575.388888888889
EMILIO PUCCI,Dress,691.3103448275862,1752.1379310344828
EMILIO de la MORENA,Dress,304.0,1016.0
EMPORIO ARMANI,Dress,211.33333333333334,705.0
ENZA COSTA,Dress,82.8,226.0
EQUIPMENT,Dress,251.6551724137931,528.0
ERDEM,Dress,722.6578947368421,1820.7631578947369
ESTEBAN CORTAZAR,Dress,476.90909090909093,1120.6818181818182
ETRO,Dress,866.3461538461538,2056.0384615384614
EVI GRINTELA,Dress,241.0,525.0
F.R.S. FOR RESTLESS SLEEPERS,Dress,568.0,1235.0
FAITH CONNEXION,Dress,478.25,1088.75
FENDI,Dress,1295.0,2540.0
FIGUE,Dress,315.7142857142857,942.0
FILIPPA K,Dress,94.3,219.25
FORTE_FORTE,Dress,307.5,647.5
FRAME,Dress,281.0,527.8181818181819
GABRIELA HEARST,Dress,757.0,2064.0
GALVAN  London,Dress,509.0,1159.3333333333333
GANNI,Dress,131.4390243902439,264.4146341463415
GARETH PUGH,Dress,594.6666666666666,1321.6666666666667
GENTRYPORTOFINO,Dress,365.0,860.8333333333334
GEORGIA ALICE,Dress,218.75,512.5
GIAMBA,Dress,680.5,1529.5
GIAMBATTISTA VALLI,Dress,1196.1805555555557,3082.9166666666665
GIORGIO ARMANI,Dress,529.0,1204.0
GIVENCHY,Dress,1434.8235294117646,2698.823529411765
GOAT,Dress,308.8421052631579,680.7368421052631
GOEN.J,Dress,284.68,604.44
GREY JASON WU,Dress,267.375,615.0
GÜL HÜRGEL,Dress,308.6,740.9
HAIDER ACKERMANN,Dress,546.0769230769231,1241.6923076923076
HALSTON HERITAGE,Dress,198.59027777777777,498.34722222222223
HANEY,Dress,724.6521739130435,1670.9565217391305
HAUTE HIPPIE,Dress,223.25,506.25
HELLESSY,Dress,558.0,1395.0
HELMUT LANG,Dress,260.94117647058823,556.7647058823529
HERVÉ LÉGER,Dress,710.7631578947369,1701.9473684210527
HILLIER BARTLEY,Dress,781.0,1815.0
HOUSE OF HOLLAND,Dress,177.41666666666666,343.4166666666667
HVN,Dress,352.0,705.0
IRO,Dress,189.46753246753246,445.64935064935065
ISA ARFEN,Dress,382.0,850.0
ISABEL MARANT,Dress,319.0,760.0
ISOLDA,Dress,397.4,1000.0
J BRAND,Dress,452.0,1005.0
J.CREW,Dress,97.5,205.0
J.MENDEL,Dress,1508.0,4867.923076923077
J.W.ANDERSON,Dress,442.9375,1058.4375
JACQUEMUS,Dress,364.0,737.5
JAMES PERSE,Dress,105.0,272.0
JASON WU,Dress,654.5892857142857,1560.4464285714287
JENNY PACKHAM,Dress,873.6666666666666,2246.5
JIL SANDER,Dress,464.94736842105266,1114.7368421052631
JOHANNA ORTIZ,Dress,970.15,2211.25
JOIE,Dress,191.38235294117646,392.8529411764706
JONATHAN SIMKHAI,Dress,424.2,1094.96
JOSEPH,Dress,373.05882352941177,850.8823529411765
JUST CAVALLI,Dress,240.92857142857142,496.7857142857143
KAIN,Dress,88.76923076923077,193.23076923076923
KATE SPADE New York,Dress,255.39473684210526,544.1973684210526
KENZO,Dress,359.0,732.5
KHAITE,Dress,476.8,1066.75
KIKI DE MONTPARNASSE,Dress,233.5,467.5
KITX,Dress,235.2,476.0
KOCHÉ,Dress,225.25,879.5
KSUBI,Dress,166.0,302.5
L'AGENCE,Dress,198.0,506.8
LA LIGNE,Dress,242.25,485.0
LANVIN,Dress,992.6530612244898,2663.061224489796
LE KASHA 1918,Dress,347.25,702.0
LELA ROSE,Dress,806.6268656716418,1870.2089552238806
LES HÉROÏNES by VANESSA COCCHIARO,Dress,161.0909090909091,336.8181818181818
LES RÊVERIES,Dress,300.0,591.6666666666666
LINE,Dress,115.0,210.0
LISA MARIE FERNANDEZ,Dress,325.0,650.0
LOEWE,Dress,1257.0,2095.0
LOVE MOSCHINO,Dress,133.5185185185185,285.77777777777777
LOVE SAM,Dress,176.58823529411765,407.2352941176471
LOVE STORIES,Dress,34.0,110.0
LOVER,Dress,196.69230769230768,446.9230769230769
LOVESHACKFANCY,Dress,242.5,485.0
M MISSONI,Dress,311.1609195402299,647.2528735632184
M.I.H JEANS,Dress,155.0,310.0
MAGDA BUTRYM,Dress,635.375,1462.0833333333333
MAGGIE MARILYN,Dress,178.0,514.0
MAILLE CLU,Dress,195.0,390.0
MAISON MARGIELA,Dress,480.6,968.8
MAJE,Dress,153.53658536585365,260.2439024390244
MAJESTIC FILATURES,Dress,150.0,273.0
MANSUR GAVRIEL,Dress,337.7142857142857,695.7142857142857
MARC JACOBS,Dress,342.6666666666667,774.4444444444445
MARCHESA,Dress,2537.6666666666665,5708.333333333333
MARCHESA NOTTE,Dress,435.78846153846155,993.8846153846154
MARCO DE VINCENZO,Dress,370.375,1120.0
MARISSA WEBB,Dress,317.9,779.0
MARKUS LUPFER,Dress,267.7142857142857,568.5714285714286
MARNI,Dress,480.22,1390.0
MARQUES' ALMEIDA,Dress,276.5,669.1666666666666
MARY KATRANTZOU,Dress,757.7058823529412,1671.764705882353
MATTHEW WILLIAMSON,Dress,573.0,1195.0
MAX MARA,Dress,230.0,490.0
MDS STRIPES,Dress,359.6666666666667,720.0
MELISSA ODABASH,Dress,202.0,405.0
MERLETTE,Dress,263.7,548.0
MES DEMOISELLES,Dress,252.0,505.0
MICHAEL KORS COLLECTION,Dress,558.8636363636364,1715.590909090909
MICHAEL LO SORDO,Dress,315.25,728.75
MICHAEL MICHAEL KORS,Dress,155.57971014492753,318.7391304347826
MICHELLE MASON,Dress,288.79487179487177,687.974358974359
MIKAEL AGHAL,Dress,311.6685393258427,850.1685393258427
MIKOH,Dress,127.0,255.0
MILLY,Dress,212.2125,548.65
MIRA MIKATI,Dress,257.0,515.0
MISSONI,Dress,620.1228070175439,1660.219298245614
MIU MIU,Dress,797.7777777777778,1906.111111111111
MM6 MAISON MARGIELA,Dress,233.0,425.0
MONIQUE LHUILLIER,Dress,1657.4,4919.0
MONROW,Dress,91.25,175.0
MOSCHINO,Dress,431.4166666666667,922.4166666666666
MOTHER OF PEARL,Dress,294.8888888888889,612.7777777777778
MSGM,Dress,295.9166666666667,754.4166666666666
MUGLER,Dress,720.4883720930233,1536.9767441860465
MUUBAA,Dress,233.0,466.42857142857144
McQ Alexander McQueen,Dress,207.68,407.4
NAEEM KHAN,Dress,2215.5,4835.0
NANUSHKA,Dress,239.85714285714286,431.07142857142856
NARCISO RODRIGUEZ,Dress,850.0,1740.5714285714287
NEEDLE & THREAD,Dress,345.57142857142856,614.7142857142857
NICHOLAS,Dress,257.921875,598.125
NINA RICCI,Dress,517.625,1397.5
NINETY PERCENT,Dress,89.78571428571429,149.64285714285714
NOIR KEI NINOMIYA,Dress,265.0,1325.0
NORMA KAMALI,Dress,158.42857142857142,362.3333333333333
N°21,Dress,577.0,1333.3333333333333
OFF-WHITE™,Dress,705.0,1375.0
OLIVIA VON HALLE,Dress,448.0,895.0
ONIA,Dress,74.0,137.5
OPENING CEREMONY,Dress,144.5,327.5
OSCAR DE LA RENTA,Dress,1080.7747747747749,2869.252252252252
OSMAN,Dress,308.5,766.6666666666666
PACO RABANNE,Dress,451.1578947368421,935.2631578947369
PAPER London,Dress,191.25,469.375
PAUL & JOE,Dress,343.5,685.625
PERSEVERANCE,Dress,190.4,353.6666666666667
PETAR PETROV,Dress,425.0,835.0
PETER PILOTTO,Dress,641.9666666666667,1684.5
PHILOSOPHY di LORENZO SERAFINI,Dress,496.65,1055.3
PIAZZA SEMPIONE,Dress,289.4166666666667,717.5
PLACE NATIONALE,Dress,176.0,360.0
PORTS 1961,Dress,539.0,1225.0
PRABAL GURUNG,Dress,622.4615384615385,1485.3846153846155
PRADA,Dress,1048.1818181818182,1854.5454545454545
PREEN LINE,Dress,276.7,533.0
PREEN by THORNTON BREGAZZI,Dress,487.57142857142856,1160.7142857142858
PRINGLE OF SCOTLAND,Dress,272.73333333333335,779.3333333333334
PROENZA SCHOULER,Dress,722.9545454545455,1795.4545454545455
PROENZA SCHOULER PSWL,Dress,286.5,547.5
PUSHBUTTON,Dress,364.0,530.0
R13,Dress,334.5,760.0
RACHEL GILBERT,Dress,595.2,1580.65
RACHEL ZOE,Dress,175.53571428571428,477.10714285714283
RACIL,Dress,388.0,831.5384615384615
RAG & BONE,Dress,150.8,380.5
RAOUL,Dress,213.64285714285714,597.1428571428571
RAQUEL ALLEGRA,Dress,421.0,843.0
RAQUEL DINIZ,Dress,524.0,1165.0
REBECCA MINKOFF,Dress,113.22222222222223,229.44444444444446
REBECCA TAYLOR,Dress,217.6,495.0
REBECCA VALLANCE,Dress,259.9791666666667,518.1666666666666
REDValentino,Dress,423.80645161290323,870.6236559139785
REEM ACRA,Dress,1983.5,5034.375
REJINA PYO,Dress,269.0,742.5
RHODE,Dress,159.5,346.5
RICK OWENS,Dress,467.76666666666665,1018.4333333333333
RICK OWENS LILIES,Dress,324.0,810.0
ROBERT RODRIGUEZ,Dress,298.0,596.6666666666666
ROBERTO CAVALLI,Dress,775.5913978494624,2151.1182795698924
ROCHAS,Dress,562.0,1340.5
ROKH,Dress,452.3333333333333,954.6666666666666
ROKSANDA,Dress,618.75,1479.5833333333333
ROLAND MOURET,Dress,1018.475,2266.975
ROSETTA GETTY,Dress,628.3636363636364,1379.090909090909
ROSIE ASSOULIN,Dress,724.1666666666666,2017.5
RTA,Dress,471.3333333333333,1005.0
SACHIN & BABI,Dress,351.55172413793105,848.8965517241379
SAFIYAA,Dress,450.5,1483.375
SAINT LAURENT,Dress,1435.0,2806.0
SALONI,Dress,271.5,623.7
SANDRO,Dress,153.828125,257.03125
SEA,Dress,242.2,511.6
SEE BY CHLOÉ,Dress,140.58333333333334,411.6666666666667
SELF-PORTRAIT,Dress,218.13333333333333,368.6666666666667
SEREN LONDON,Dress,358.0,780.0
SID NEIGUM,Dress,189.4,430.0
SIES MARJAN,Dress,641.0,1582.5
SILVIA TCHERASSI,Dress,560.0,1366.0
SIMON MILLER,Dress,125.5,415.0
SIMONE ROCHA,Dress,714.9166666666666,1735.4166666666667
SOLACE LONDON,Dress,261.0,463.6363636363636
SONIA RYKIEL,Dress,440.5,957.8571428571429
SPLENDID,Dress,89.0,195.0
SPRWMN,Dress,513.0,1140.0
STAUD,Dress,151.0,275.0
STAUD x SOLID & STRIPED,Dress,95.0,190.0
STELLA JEAN,Dress,383.3333333333333,823.1333333333333
STELLA McCARTNEY,Dress,682.2666666666667,1670.0333333333333
SUNDRY,Dress,75.0,150.0
TABULA RASA,Dress,230.0,587.5
TALBOT RUNHOF,Dress,596.4516129032259,1370.2903225806451
TALITHA,Dress,387.6666666666667,917.9166666666666
TART COLLECTIONS,Dress,72.8,144.8
TEMPERLEY LONDON,Dress,669.3636363636364,1536.439393939394
THE RANGE,Dress,126.5,248.75
THE ROW,Dress,1193.0,3115.0
THEORY,Dress,192.0681818181818,447.8636363636364
THOM BROWNE,Dress,816.5,2077.5
THREE GRACES LONDON,Dress,382.0,765.0
TIBI,Dress,323.6923076923077,724.3269230769231
TOM FORD,Dress,1925.0,5321.666666666667
TOMAS MAIER,Dress,341.2,849.0
TOME,Dress,327.5,832.9545454545455
TORY BURCH,Dress,286.2413793103448,643.1034482758621
ULLA JOHNSON,Dress,346.0,702.3333333333334
VALENTINO,Dress,1353.9481481481482,3943.7703703703705
VANESSA BRUNO,Dress,203.04651162790697,450.48837209302326
VANESSA BRUNO ATHE',Dress,150.0,300.0
VANESSA SEWARD,Dress,203.6,481.0
VEDA,Dress,267.0,495.0
VELVET by GRAHAM & SPENCER,Dress,98.0,418.0
VERONICA BEARD,Dress,273.64,591.2
VERSACE,Dress,620.0909090909091,1716.3636363636363
VERSACE COLLECTION,Dress,328.2857142857143,818.5714285714286
VERSACE TRIBUTE,Dress,598.0,2990.0
VERSUS VERSACE,Dress,278.2857142857143,621.0714285714286
VETEMENTS,Dress,665.1666666666666,1473.3333333333333
VICTOR GLEMAUD,Dress,288.0,575.0
VICTORIA BECKHAM,Dress,906.6285714285714,1983.5714285714287
"VICTORIA, VICTORIA BECKHAM",Dress,324.6666666666667,657.7083333333334
VILSHENKO,Dress,572.0,1410.0
VINCE.,Dress,213.0,423.2352941176471
VIONNET,Dress,545.0,2208.5
VIX PAULA HERMANNY,Dress,116.66666666666667,281.0
W118 by WALTER BAKER,Dress,113.64285714285714,250.71428571428572
WALTER BAKER,Dress,135.4,264.0
WE ARE LEONE,Dress,254.0,548.0
WOLFORD,Dress,118.83333333333333,201.66666666666666
ZAC POSEN,Dress,983.2631578947369,2936.7105263157896
ZAC ZAC POSEN,Dress,404.4,891.6
ZIMMERMANN,Dress,537.4202898550725,1121.731884057971
ZUHAIR MURAD,Dress,2008.4444444444443,5905.222222222223
byTIMO,Dress,128.0,268.5
ÊTRE CÉCILE,Dress,152.33333333333334,309.3333333333333
