Brand,Description,SalePrice,OriginalPrice
3.1 PHILLIP LIM,Pants,254.1875,577.1875
3x1,Pants,207.66666666666666,415.8333333333333
7 FOR ALL MANKIND,Pants,198.66666666666666,417.77777777777777
A.L.C.,Pants,205.75,466.25
ACNE STUDIOS,Pants,219.2,475.5
ADAM LIPPES,Pants,337.5238095238095,815.7142857142857
ADEAM,Pants,342.6666666666667,746.6666666666666
ADIDAS,Pants,36.0,71.66666666666667
ADIDAS ORIGINALS,Pants,61.5,120.83333333333333
ADIDAS by STELLA McCARTNEY,Pants,107.8,185.0
AG JEANS,Pants,193.83333333333334,398.44444444444446
AGNONA,Pants,386.2,872.0
AKRIS,Pants,424.6666666666667,1008.0
ALAÏA,Pants,970.0,2425.0
ALBERTA FERRETTI,Pants,375.8333333333333,752.5
ALEXACHUNG,Pants,203.16666666666666,403.3333333333333
ALEXANDER MCQUEEN,Pants,540.3333333333334,1218.5
ALEXANDER WANG,Pants,296.6923076923077,772.6923076923077
ALEXANDERWANG.T,Pants,225.6875,480.625
ALEXIS,Pants,268.0,762.5
ALICE + OLIVIA,Pants,190.64285714285714,423.57142857142856
ALTUZARRA,Pants,296.1111111111111,665.5555555555555
AMANDA WAKELEY,Pants,237.5,581.25
AMERICAN VINTAGE,Pants,79.2,132.0
AMIRI,Pants,878.0,2195.0
ANINE BING,Pants,102.0,205.0
ANN DEMEULEMEESTER,Pants,315.3478260869565,668.0869565217391
ANNA QUAN,Pants,202.16666666666666,469.1666666666667
ANNA SUI,Pants,266.0,522.5
ANTIK BATIK,Pants,121.4,226.0
ANTONIO BERARDI,Pants,214.07692307692307,512.4615384615385
APIECE APART,Pants,150.0,300.0
ASHISH,Pants,652.0,1450.0
ATM ANTHONY THOMAS MELILLO,Pants,152.0,305.0
BA&SH,Pants,101.0,195.0
BAILEY 44,Pants,109.0,197.5
BALENCIAGA,Pants,417.0,695.0
BALMAIN,Pants,660.3571428571429,1534.2857142857142
BAUM UND PFERDGARTEN,Pants,107.17647058823529,219.58823529411765
BEAUFILLE,Pants,164.5,485.0
BOTTEGA VENETA,Pants,459.0,765.0
BOUTIQUE MOSCHINO,Pants,205.4,411.0
BRUNELLO CUCINELLI,Pants,488.05970149253733,1072.9850746268658
