Brand,Description,OriginalPrice
16ARLINGTON,Skirt,873.75
3.1 PHILLIP LIM,Skirt,552.875
A.W.A.K.E. MODE,Skirt,584.0
ACNE STUDIOS,Skirt,390.0
ADAM LIPPES,Skirt,1842.5
ADEAM,Skirt,540.0
AGENT PROVOCATEUR,Skirt,278.0
AGNONA,Skirt,935.0
AGOLDE,Skirt,169.0
AGUA BY AGUA BENDITA,Skirt,500.0
AKRIS,Skirt,1206.6666666666667
ALAÏA,Skirt,2550.909090909091
ALBUS LUMEN,Skirt,340.0
ALEKSANDRE AKHALKATSISHVILI,Skirt,364.0
ALESSANDRA RICH,Skirt,600.0
ALEX MILL,Skirt,104.0
ALEXACHUNG,Skirt,235.0
ALEXANDER MCQUEEN,Skirt,1617.142857142857
ALEXANDER WANG,Skirt,826.4285714285714
ALEXANDERWANG.T,Skirt,285.0
ALEXANDRE VAUTHIER,Skirt,1527.5
ALICE + OLIVIA,Skirt,514.1666666666666
ALLUDE,Skirt,459.0
ALTUZARRA,Skirt,958.3333333333334
AMIRI,Skirt,1954.0
ANDERSSON BELL,Skirt,382.6666666666667
ANINE BING,Skirt,259.85714285714283
ANN DEMEULEMEESTER,Skirt,1108.0
ANNA MASON,Skirt,603.6666666666666
ANNA QUAN,Skirt,390.0
APIECE APART,Skirt,261.0
ARIAS,Skirt,685.0
ARIES,Skirt,328.0
AROSS GIRL X SOLER,Skirt,403.2
ART DEALER,Skirt,262.5
ASHISH,Skirt,824.0
ATLANTIQUE ASCOLI,Skirt,450.0
ATM ANTHONY THOMAS MELILLO,Skirt,426.0
ATTICO,Skirt,575.0
BALENCIAGA,Skirt,1123.6842105263158
BALMAIN,Skirt,1256.6666666666667
BEAUFILLE,Skirt,650.0
BELLA FREUD,Skirt,348.0
BERNADETTE,Skirt,498.0
BITE STUDIOS,Skirt,560.0
BLOUSE,Skirt,364.0
BOTTEGA VENETA,Skirt,2175.0
BRANDON MAXWELL,Skirt,1897.0
BROCK COLLECTION,Skirt,1161.0
BRUNELLO CUCINELLI,Skirt,1690.0
BURBERRY,Skirt,1076.6666666666667
BY MALENE BIRGER,Skirt,268.3333333333333
CAMI NYC,Skirt,343.0
CAROLINA HERRERA,Skirt,1826.6666666666667
CAROLINE CONSTAS,Skirt,555.0
CASASOLA,Skirt,822.5
CECILIE BAHNSEN,Skirt,1410.0
CEFINN,Skirt,275.0
CELIA DRAGOUNI,Skirt,325.0
CHARO RUIZ,Skirt,225.0
CHLOÉ,Skirt,1390.0
CHRISTOPHER KANE,Skirt,937.8571428571429
CHUFY,Skirt,540.0
CLOE CASSANDRO,Skirt,284.0
CO,Skirt,660.0
COMME DES GARÇONS COMME DES GARÇONS,Skirt,752.5
COMME DES GARÇONS GIRL,Skirt,610.0
COMMISSION,Skirt,955.5
COSTARELLOS,Skirt,635.0
COURREGES,Skirt,776.6666666666666
CUSHNIE,Skirt,936.5
CÉDRIC CHARLIER,Skirt,673.3333333333334
DAVID KOMA,Skirt,1356.25
DEREK LAM,Skirt,950.0
DEVEAUX,Skirt,670.0
DIANE VON FURSTENBERG,Skirt,450.0
DION LEE,Skirt,835.0
DODO BAR OR,Skirt,699.0
DOLCE & GABBANA,Skirt,886.9230769230769
DRIES VAN NOTEN,Skirt,1121.0
EMILIA WICKSTEAD,Skirt,1340.0
ENVELOPE1976,Skirt,450.0
ERDEM,Skirt,1502.0
ESTEBAN CORTÁZAR,Skirt,490.0
ETRO,Skirt,1261.6666666666667
FAITHFULL THE BRAND,Skirt,163.0
FANNIE SCHIAVONI,Skirt,1170.0
FENDI,Skirt,1248.0
