Brand,Description,SalePrice,OriginalPrice
3.1 PHILLIP LIM,Skirt,284.8333333333333,623.3333333333334
3x1,Skirt,149.33333333333334,299.0
7 FOR ALL MANKIND,Skirt,105.66666666666667,263.3333333333333
A.L.C.,Skirt,200.125,454.375
A.P.C.,Skirt,95.0,175.0
A.W.A.K.E.,Skirt,245.0,490.0
ACNE STUDIOS,Skirt,164.44444444444446,350.55555555555554
ADAM LIPPES,Skirt,351.6666666666667,898.25
ADEAM,Skirt,251.0,535.0
ADIDAS ORIGINALS,Skirt,20.0,80.0
AGNONA,Skirt,510.55555555555554,1231.5555555555557
ALAÏA,Skirt,882.0,2716.6666666666665
ALBERTA FERRETTI,Skirt,443.75,941.25
ALEXACHUNG,Skirt,164.33333333333334,310.8333333333333
ALEXANDER MCQUEEN,Skirt,1174.0,2579.6
ALEXANDER WANG,Skirt,263.75,550.0
ALEXANDERWANG.T,Skirt,157.71428571428572,340.0
ALICE + OLIVIA,Skirt,283.35483870967744,618.7096774193549
ALICE McCALL,Skirt,147.0,267.5
ALTUZARRA,Skirt,450.5,962.9166666666666
AMANDA WAKELEY,Skirt,327.1666666666667,776.6666666666666
AMIRI,Skirt,567.5,1172.5
AMO,Skirt,105.0,210.0
ANN DEMEULEMEESTER,Skirt,380.27272727272725,838.9090909090909
ANNA OCTOBER,Skirt,197.0,345.5
ANNA QUAN,Skirt,217.33333333333334,435.0
ANNA SUI,Skirt,252.84615384615384,526.1538461538462
ANTIK BATIK,Skirt,117.6,219.8
ANTONIO BERARDI,Skirt,370.6666666666667,879.0
APIECE APART,Skirt,178.0,360.0
BA&SH,Skirt,98.25,202.5
BAILEY 44,Skirt,153.0,255.0
BALENCIAGA,Skirt,731.0,1061.6666666666667
BALMAIN,Skirt,685.6153846153846,1481.1538461538462
BASSIKE,Skirt,167.0,335.0
BAUM UND PFERDGARTEN,Skirt,106.28571428571429,203.0
BEAUFILLE,Skirt,176.0,410.0
BELSTAFF,Skirt,350.0,1167.0
BIYAN,Skirt,794.0,1765.0
BORGO DE NOR,Skirt,246.6,562.0
BOTTEGA VENETA,Skirt,2018.75,3660.0
BOUTIQUE MOSCHINO,Skirt,229.72727272727272,468.6363636363636
BROCK COLLECTION,Skirt,668.9,1737.7
BRUNELLO CUCINELLI,Skirt,456.6923076923077,1035.0
BURBERRY,Skirt,516.6666666666666,1060.0
BY MALENE BIRGER,Skirt,101.66666666666667,230.0
CALVIN KLEIN 205W39NYC,Skirt,494.0,1234.0
CAMI NYC,Skirt,164.5,330.0
CARMEN MARCH,Skirt,118.0,780.0
CAROLINA HERRERA,Skirt,649.6363636363636,1868.090909090909
CAROLINE CONSTAS,Skirt,256.6666666666667,501.6666666666667
CARVEN,Skirt,341.0,682.5
CEDRIC CHARLIER,Skirt,397.3333333333333,815.0
CEFINN,Skirt,99.0,220.0
CHALAYAN,Skirt,192.0,576.3
CHAMPION,Skirt,37.0,53.0
CHARLI,Skirt,78.5,150.0
CHINTI AND PARKER,Skirt,172.0,345.0
CHLOÉ,Skirt,533.3333333333334,1441.3333333333333
CHRISTOPHER ESBER,Skirt,309.0,688.0
CHRISTOPHER KANE,Skirt,401.8333333333333,854.1666666666666
CINQ À SEPT,Skirt,191.25,457.5
CLAUDIE PIERLOT,Skirt,118.9,204.0
CLU,Skirt,157.0,312.5
CO,Skirt,419.0,1122.142857142857
CURRENT/ELLIOTT,Skirt,166.5,430.8333333333333
CUSHNIE,Skirt,385.6666666666667,771.6666666666666
DAVID KOMA,Skirt,513.5,1157.5
DE LA VALI,Skirt,226.66666666666666,460.3333333333333
DEITAS,Skirt,285.0,595.0
DELPOZO,Skirt,587.1666666666666,1716.6666666666667
DEREK LAM,Skirt,372.0,904.3333333333334
DEREK LAM 10 CROSBY,Skirt,149.11111111111111,417.77777777777777
DIANE VON FURSTENBERG,Skirt,161.1,350.7
DION LEE,Skirt,197.0,535.0
DKNY,Skirt,61.0,118.0
DL1961,Skirt,110.75,222.25
DODO BAR OR,Skirt,178.16666666666666,316.8333333333333
DOLCE & GABBANA,Skirt,783.7368421052631,1701.578947368421
DROMe,Skirt,547.0,1278.5
EACH X OTHER,Skirt,222.5,446.0
ELLERY,Skirt,277.2,696.0
EMILIA WICKSTEAD,Skirt,463.75,1305.0
EMILIO PUCCI,Skirt,432.7,1127.5
EMPORIO ARMANI,Skirt,299.0,717.5
ENZA COSTA,Skirt,66.0,181.5
EQUIPMENT,Skirt,235.0,470.0
ERDEM,Skirt,559.8,1470.1333333333334
ESTEBAN CORTAZAR,Skirt,396.5,845.0
ETRO,Skirt,529.7,1374.0
FAITH CONNEXION,Skirt,285.7142857142857,570.7142857142857
FILIPPA K,Skirt,98.75,210.0
FIORUCCI,Skirt,38.0,180.0
FLEUR DU MAL,Skirt,207.66666666666666,451.6666666666667
FORTE_FORTE,Skirt,240.0,487.5
FRAME,Skirt,255.72727272727272,478.09090909090907
GABRIELA HEARST,Skirt,447.0,915.0
GALVAN  London,Skirt,328.0,670.0
GANNI,Skirt,110.5,218.375
GARETH PUGH,Skirt,225.0,500.0
GENTRYPORTOFINO,Skirt,271.14285714285717,608.7142857142857
GIAMBATTISTA VALLI,Skirt,733.1538461538462,1966.3846153846155
GIORGIO ARMANI,Skirt,595.0,1353.0
GIVENCHY,Skirt,858.625,1783.75
GOAT,Skirt,202.0,450.0
GOEN.J,Skirt,213.1818181818182,423.90909090909093
GRLFRND,Skirt,110.0,220.0
HAIDER ACKERMANN,Skirt,432.4,898.0
HALSTON HERITAGE,Skirt,130.0,260.0
HAUTE HIPPIE,Skirt,339.0,755.0
HELMUT LANG,Skirt,270.75,590.625
HERVÉ LÉGER,Skirt,454.4,1057.4
HOUSE OF HOLLAND,Skirt,174.57142857142858,325.7142857142857
IRIS & INK,Skirt,20.0,100.0
IRO,Skirt,170.34285714285716,361.14285714285717
ISABEL MARANT ÉTOILE,Skirt,333.0,565.0
ISOLDA,Skirt,238.63636363636363,559.0
J BRAND,Skirt,132.0,265.0
J.CREW,Skirt,115.0,230.0
J.W.ANDERSON,Skirt,321.77777777777777,742.2222222222222
JAMES PERSE,Skirt,110.0,220.0
JASON WU,Skirt,380.0,951.0
JENNY PACKHAM,Skirt,764.0,2184.0
JIL SANDER,Skirt,479.23809523809524,1233.095238095238
JOHANNA ORTIZ,Skirt,710.375,1608.75
JOIE,Skirt,198.0,396.6666666666667
JONATHAN SIMKHAI,Skirt,210.16666666666666,517.6666666666666
JOSEPH,Skirt,188.7,428.5
JUAN CARLOS OBANDO,Skirt,632.0,1405.0
JUST CAVALLI,Skirt,244.5,527.0
KATE SPADE New York,Skirt,174.1,357.1
KENZO,Skirt,219.0,438.3333333333333
KHAITE,Skirt,395.0,920.0
KITX,Skirt,206.13333333333333,417.3333333333333
KSUBI,Skirt,107.0,195.0
L'AGENCE,Skirt,103.5,263.5
LA LIGNE,Skirt,95.0,475.0
LANVIN,Skirt,566.2857142857143,1433.2142857142858
LELA ROSE,Skirt,444.0,922.3333333333334
LES HÉROÏNES by VANESSA COCCHIARO,Skirt,139.63636363636363,273.6363636363636
LISA MARIE FERNANDEZ,Skirt,256.0,512.5
LOEWE,Skirt,354.0,590.0
LOVE MOSCHINO,Skirt,109.1875,249.875
LOVE SAM,Skirt,151.2,326.0
LOVE STORIES,Skirt,50.0,110.0
LOVER,Skirt,132.0,247.5
M MISSONI,Skirt,271.44444444444446,527.8888888888889
MAGDA BUTRYM,Skirt,460.5,1003.75
MAGGIE MARILYN,Skirt,139.66666666666666,386.6666666666667
MAISON MARGIELA,Skirt,582.0,1723.0
MAJE,Skirt,120.3076923076923,208.07692307692307
MANSUR GAVRIEL,Skirt,270.0,540.0
MARC JACOBS,Skirt,250.6153846153846,597.6923076923077
MARCO DE VINCENZO,Skirt,364.0,995.0
MARISSA WEBB,Skirt,202.0,405.0
MARKUS LUPFER,Skirt,210.25,446.25
MARNI,Skirt,288.5,807.6785714285714
MARQUES' ALMEIDA,Skirt,198.375,446.875
MARY KATRANTZOU,Skirt,482.8,919.0
MASSCOB,Skirt,168.0,324.0
MATTHEW WILLIAMSON,Skirt,164.0,334.0
MDS STRIPES,Skirt,153.0,320.0
MERLETTE,Skirt,134.66666666666666,293.3333333333333
MICHAEL KORS COLLECTION,Skirt,352.75,992.5
MICHAEL LO SORDO,Skirt,169.66666666666666,340.0
MICHAEL MICHAEL KORS,Skirt,168.0,340.0
MICHELLE MASON,Skirt,220.0,490.0
MIGUELINA,Skirt,168.5,338.3333333333333
MIKAEL AGHAL,Skirt,213.33333333333334,474.1666666666667
MILLY,Skirt,206.88888888888889,470.0
MISSONI,Skirt,391.05,856.5
MIU MIU,Skirt,294.0,490.0
MONIQUE LHUILLIER,Skirt,1151.0,3290.0
MOSCHINO,Skirt,312.2857142857143,618.5714285714286
MOTHER,Skirt,143.0,286.6666666666667
MOTHER OF PEARL,Skirt,242.0,462.5
MSGM,Skirt,218.5,525.5
MUGLER,Skirt,393.7142857142857,801.0714285714286
MUUBAA,Skirt,164.6,330.0
McQ Alexander McQueen,Skirt,204.15384615384616,406.9230769230769
NANUSHKA,Skirt,208.5,377.5
NARCISO RODRIGUEZ,Skirt,540.5,1180.0
NICHOLAS,Skirt,158.16666666666666,376.25
NINA RICCI,Skirt,347.47058823529414,914.1176470588235
NINETY PERCENT,Skirt,50.7,84.5
OSCAR DE LA RENTA,Skirt,593.9642857142857,1588.2142857142858
PACO RABANNE,Skirt,304.38461538461536,651.5384615384615
PAPER London,Skirt,179.5,330.0
