Brand,OriginalPrice,Description
16ARLINGTON,686.5555555555555,Top
3.1 PHILLIP LIM,503.0833333333333,Top
A.W.A.K.E. MODE,517.6666666666666,Top
ACNE STUDIOS,242.94117647058823,Top
ADAM LIPPES,732.7777777777778,Top
ADAM SELMAN SPORT,156.0,Top
ADIDAS ORIGINALS,41.666666666666664,Top
ADIDAS ORIGINALS BY ALEXANDER WANG,180.0,Top
AGENT PROVOCATEUR,256.0,Top
AGNONA,630.0,Top
AGOLDE,118.42857142857143,Top
AGUA BY AGUA BENDITA,239.0,Top
AKRIS,864.3333333333334,Top
ALAÏA,1259.642857142857,Top
ALBUS LUMEN,287.5,Top
ALEKSANDRE AKHALKATSISHVILI,295.0,Top
ALEX MILL,102.83333333333333,Top
ALEX PERRY,1100.0,Top
ALEXACHUNG,141.25,Top
ALEXANDER MCQUEEN,1180.7692307692307,Top
ALEXANDER WANG,603.125,Top
ALEXANDERWANG.T,328.92857142857144,Top
ALEXANDRE VAUTHIER,1090.0,Top
ALICE + OLIVIA,313.57142857142856,Top
ALICE MCCALL,245.0,Top
ALIX NYC,188.42307692307693,Top
ALTUZARRA,775.0,Top
AMBUSH®,318.2,Top
AMIRI,556.6666666666666,Top
ANDERSSON BELL,221.0,Top
ANDREW GN,1620.0,Top
ANINE BING,156.66666666666666,Top
ANN DEMEULEMEESTER,653.8571428571429,Top
ANNA MASON,602.2727272727273,Top
ANNA QUAN,288.75,Top
ANTONIO BERARDI,589.6,Top
APIECE APART,238.6,Top
AREA,750.0,Top
ARIAS,606.6666666666666,Top
ARIES,161.11111111111111,Top
ARJÉ,472.5,Top
AROSS GIRL X SOLER,339.0,Top
ART DEALER,265.0,Top
ASAI,394.5,Top
ASHISH,596.5,Top
ATLANTIQUE ASCOLI,503.75,Top
ATM ANTHONY THOMAS MELILLO,153.58823529411765,Top
ATTICO,556.6666666666666,Top
BALENCIAGA,715.8095238095239,Top
BALMAIN,809.0625,Top
BASERANGE,92.5,Top
BASSIKE,198.16666666666666,Top
BEAUFILLE,290.0,Top
BELLA FREUD,214.16666666666666,Top
BERNADETTE,397.5,Top
BITE STUDIOS,347.5,Top
BLOUSE,156.375,Top
BOTTEGA VENETA,1370.0,Top
BRANDON MAXWELL,1891.6,Top
BROCK COLLECTION,890.0,Top
BRUNELLO CUCINELLI,736.6666666666666,Top
BURBERRY,695.0,Top
BY MALENE BIRGER,272.125,Top
CALVIN KLEIN UNDERWEAR,36.0,Top
CALÉ,104.0,Top
CAMI NYC,210.42857142857142,Top
CAROLINA HERRERA,1147.5,Top
CAROLINE CONSTAS,492.57142857142856,Top
CASASOLA,645.0,Top
CECILIE BAHNSEN,755.5,Top
CEFINN,216.66666666666666,Top
CELIA DRAGOUNI,242.5,Top
CHARO RUIZ,236.66666666666666,Top
CHLOÉ,1037.0967741935483,Top
CHRISTOPHER KANE,599.2857142857143,Top
CHUFY,408.3333333333333,Top
CLOE CASSANDRO,132.5,Top
CO,570.4285714285714,Top
COCO DE MER,110.0,Top
COMMANDO,99.8,Top
COMME DES GARÇONS COMME DES GARÇONS,429.1666666666667,Top
COMME DES GARÇONS GIRL,301.0,Top
COMMISSION,814.1666666666666,Top
COSTARELLOS,495.0,Top
COURREGES,270.0,Top
CULT GAIA,358.57142857142856,Top
CURRENT/ELLIOTT,225.0,Top
CUSHNIE,936.5,Top
CÉDRIC CHARLIER,353.3333333333333,Top
DANNIJO,151.0,Top
