,UserId,PostId,Followings,Followers,MediaCount,BrandName,BrandCategory,BrandFollowers,Hashtags,Caption,Likes,Comments ,Selfie,BodySnap,Marketing,ProductOnly,Face,Logo,BrandLogo,Smile,Outdoor,NumberOfPeople,NumberOfFashionProduct,Emotion,Emotion_value
0,212070047,1171579752855683619,518,9840,541,Abercrombie,High street,4 429 473,28,41,97,0,0.0,0.34,0.74,0.01,0.84,0.89,0.29,0.06,0.01,0.93,3.42,Neutral,0.89
1,1465589112,1171599907010659566,2,19829,144,Abercrombie,High street,4 429 473,22,30,43,0,0.0,0.68,0.24,0.01,0.78,0.77,0.08,0.18,0.29,1.39,4.59,NaN,0.0
2,1477200908,1171567950101886268,5539,14780,2067,Abercrombie,High street,4 429 473,29,39,39,2,0.0,0.01,0.0,1.0,0.0,0.35,0.05,0.0,0.0,0.1,1.42,NaN,0.0
3,1477200908,1171514703597155774,5539,14780,2067,Abercrombie,High street,4 429 473,29,53,39,2,0.0,0.83,0.13,0.01,0.75,0.17,0.05,0.09,0.58,1.09,4.26,NaN,0.0
4,298780473,1171194809692940825,314,50076,4751,Abercrombie,High street,4 429 473,30,70,39,0,0.0,0.02,0.04,0.03,0.39,1.0,0.05,0.12,0.0,0.27,1.79,Surprise,0.68
5,1474323618,1171223288357621216,1374,23250,711,Abercrombie,High street,4 429 473,7,8,358,5,0.01,0.68,0.26,0.0,0.98,0.57,0.26,0.2,0.79,1.07,3.9,NaN,0.0
6,1474323618,1171273605250060101,1374,23250,711,Abercrombie,High street,4 429 473,6,10,302,9,0.01,0.83,0.14,0.0,0.98,0.07,0.02,0.39,0.58,2.5,7.35,Happiness,1.0
7,1477200908,1171556553557161123,5539,14780,2067,Abercrombie,High street,4 429 473,29,59,25,0,0.0,1.0,0.0,0.0,0.55,0.02,0.0,0.13,0.94,0.32,5.91,NaN,0.0
8,200789995,1171487327655957172,202,25577,708,Abercrombie,High street,4 429 473,11,37,153,4,0.0,0.6,0.34,0.02,0.76,0.34,0.09,0.15,0.05,1.4,6.58,Happiness,1.0
9,145941146,1171239661810609539,77,7685,20837,Abercrombie,High street,4 429 473,10,132,2,0,0.0,0.01,0.03,1.0,0.0,0.95,0.17,0.0,0.0,0.16,2.7,NaN,0.0
10,1491666872,1171586340951508680,53,11179,1317,Abercrombie,High street,4 429 473,27,40,185,2,0.0,0.02,0.0,0.97,0.0,0.86,0.32,0.0,0.17,0.29,2.31,NaN,0.0
11,1654710500,1171244587122415288,3815,83898,1316,Abercrombie,High street,4 429 473,2,25,1514,11,0.0,0.0,0.0,1.0,0.0,1.0,0.99,0.0,0.0,0.03,1.01,NaN,0.0
12,307544950,1171420636821413112,392,13034,490,Abercrombie,High street,4 429 473,29,70,135,1,0.09,0.41,0.05,0.03,0.64,0.17,0.06,0.16,0.08,1.44,2.73,NaN,0.0
13,307544950,1171424059373477182,392,13034,490,Abercrombie,High street,4 429 473,30,37,121,3,0.0,1.0,0.0,0.0,0.99,0.01,0.0,0.42,0.54,0.99,4.32,Happiness,0.93
14,987075534,1171578300142214193,3719,11381,347,Abercrombie,High street,4 429 473,3,21,104,0,0.0,0.08,0.25,0.07,0.33,0.48,0.14,0.02,0.08,1.08,3.62,NaN,0.0
15,42873193,1170965614629611621,3,272802,8003,Acnestudios,Designer,2 790 522,5,71,990,0,0.33,0.05,0.24,0.0,0.99,0.95,0.23,0.51,0.05,1.38,2.54,Neutral,0.85
16,1434569946,1170962625233505754,70,34489,504,Acnestudios,Designer,2 790 522,8,11,990,56,0.0,1.0,0.0,0.0,0.52,0.03,0.0,0.18,0.69,0.81,5.11,NaN,0.0
17,9745321,1170731183936702992,127684,24532,3649,Acnestudios,Designer,2 790 522,30,12,98,2,0.0,0.35,0.13,0.81,0.05,0.05,0.02,0.01,0.02,0.65,4.84,NaN,0.0
18,237899459,1171204722926137498,447,18459,2416,Acnestudios,Designer,2 790 522,10,32,94,0,0.0,0.0,0.01,0.98,0.0,0.97,0.19,0.0,0.0,0.2,1.87,NaN,0.0
19,19330127,1171536806269812767,752,274913,4917,Acnestudios,Designer,2 790 522,4,23,934,3,0.0,0.42,0.03,0.18,0.08,0.65,0.07,0.02,0.01,0.48,3.34,NaN,0.0
20,2323156177,1171000698160179378,0,104324,1306,Acnestudios,Designer,2 790 522,30,42,918,7,0.0,1.0,0.0,0.0,0.51,0.24,0.02,0.15,0.92,0.69,5.73,NaN,0.0
21,51223808,1171165354240214446,286,10621,3151,Acnestudios,Designer,2 790 522,4,16,91,2,0.0,0.08,0.06,0.96,0.01,0.84,0.09,0.0,0.0,0.34,4.75,NaN,0.0
22,4668325,1170959699503479461,1419,19160,7788,Acnestudios,Designer,2 790 522,15,31,91,2,0.0,0.24,0.01,0.76,0.01,0.27,0.07,0.0,0.01,0.38,3.62,NaN,0.0
23,4765245,1171362677986154932,854,89136,1215,Acnestudios,Designer,2 790 522,29,35,905,12,0.0,0.01,0.03,0.67,0.01,1.0,0.55,0.0,0.01,0.27,1.53,NaN,0.0
24,22246859,1170835535361282821,3996,36588,3686,Acnestudios,Designer,2 790 522,15,22,885,41,0.0,0.91,0.06,0.03,0.55,0.13,0.02,0.06,0.3,0.83,5.83,Neutral,0.82
25,212581921,1170512569901648334,730,9034,3042,Acnestudios,Designer,2 790 522,3,14,88,0,0.01,0.17,0.01,0.53,0.04,0.27,0.09,0.01,0.07,0.72,3.29,NaN,0.0
26,713136776,1170900837931402498,3,11680,2560,Acnestudios,Designer,2 790 522,11,26,86,0,0.0,0.04,0.05,0.55,0.01,0.18,0.07,0.01,0.03,0.81,3.13,NaN,0.0
27,51223808,1171142527705384743,286,10621,3151,Acnestudios,Designer,2 790 522,3,15,85,1,0.01,0.71,0.05,0.05,0.7,0.09,0.02,0.08,0.46,0.84,5.67,Neutral,0.99
28,412929850,1170428751101284132,537,92259,1495,Acnestudios,Designer,2 790 522,15,49,838,18,0.01,0.9,0.31,0.0,0.98,0.07,0.05,0.25,0.96,1.23,5.27,Happiness,1.0
29,47425530,1171033719931686634,426,8608,1554,Acnestudios,Designer,2 790 522,4,11,83,2,0.01,0.25,0.03,0.05,0.17,0.98,0.24,0.05,0.13,0.93,2.54,NaN,0.0
30,9745321,1170916903599016403,127684,24532,3649,Acnestudios,Designer,2 790 522,30,8,83,2,0.0,0.15,0.02,0.91,0.02,0.94,0.26,0.01,0.04,0.5,4.19,NaN,0.0
31,638190835,1170889058789691747,187,30981,580,Acnestudios,Designer,2 790 522,14,21,823,8,0.0,0.38,0.0,0.76,0.0,0.99,0.24,0.01,0.03,0.26,3.25,NaN,0.0
32,476295483,1170414908048118287,6925,81165,906,Acnestudios,Designer,2 790 522,26,36,823,5,0.0,0.0,0.01,0.99,0.0,0.99,0.37,0.0,0.0,0.21,2.18,NaN,0.0
33,9745321,1171175932648818858,127684,24532,3649,Acnestudios,Designer,2 790 522,30,8,81,2,0.0,0.01,0.04,0.05,0.14,1.0,0.11,0.06,0.0,0.49,0.81,NaN,0.0
34,9745321,1170725232814918037,127684,24532,3649,Acnestudios,Designer,2 790 522,30,15,81,0,0.0,0.0,0.01,1.0,0.0,1.0,0.42,0.0,0.0,0.11,2.25,NaN,0.0
35,9745321,1170720464679799105,127684,24532,3649,Acnestudios,Designer,2 790 522,30,22,80,0,0.01,0.86,0.17,0.01,0.93,0.68,0.11,0.25,0.25,1.46,5.5,NaN,0.0
